iter	RMSE
0	0.4952916763
1	0.4912065272
2	0.4873687227
3	0.4833406513
4	0.4794304706
5	0.47576623
6	0.4720879388
7	0.4683047035
8	0.4649078256
9	0.4618412607
10	0.4590314836
11	0.455947823
12	0.4529044498
13	0.4498815067
14	0.4470329175
15	0.4446337501
16	0.4420799429
17	0.4397118285
18	0.4373061813
19	0.4350212402
20	0.4328994925
21	0.4307552824
22	0.4287166193
23	0.4267041829
24	0.424776583
25	0.4229061411
26	0.4212693293
27	0.4195947808
28	0.4176936779
29	0.4159795637
30	0.4143635351
31	0.4126593224
32	0.411125392
33	0.4096248815
34	0.408093087
35	0.4066901504
36	0.4052529791
37	0.4038841464
38	0.4026330027
39	0.4013309954
40	0.4000897053
41	0.3989169125
42	0.3979136367
43	0.3968022777
44	0.3958400841
45	0.3948273629
46	0.3938382921
47	0.3929710314
48	0.3920600622
49	0.3912770743
50	0.3903916817
51	0.3895475833
52	0.3886782426
53	0.3877665382
54	0.3868936277
55	0.3861106011
56	0.385373436
57	0.3845875431
58	0.3838512356
59	0.3832042302
60	0.3825188876
61	0.3819147076
62	0.3812131276
63	0.3806220414
64	0.3799540205
65	0.3793498497
66	0.3787951063
67	0.3782761202
68	0.3777764542
69	0.3772517398
70	0.3767018959
71	0.3761377261
72	0.3756698732
73	0.3752377881
74	0.3746602691
75	0.3743000119
76	0.3739700341
77	0.3733795718
78	0.3729529853
79	0.3726078928
80	0.3721015376
81	0.3716430593
82	0.3711187901
83	0.3707663656
84	0.370360696
85	0.370084288
86	0.3696161176
87	0.3692088505
88	0.3688311966
89	0.3685612222
90	0.3680290482
91	0.3676715199
92	0.3674257937
93	0.3671410044
94	0.3668884589
95	0.3666678039
96	0.3662518765
97	0.3659363202
98	0.3654945219
99	0.3651554664
100	0.3648607411
101	0.3645506309
102	0.3643462278
103	0.3640501706
104	0.3637126962
105	0.3635178196
106	0.3632336487
107	0.3628979852
108	0.3627548297
109	0.3624282286
110	0.3621645488
111	0.3616808475
112	0.3614178399
113	0.3611534346
114	0.3609840166
115	0.3607052781
116	0.3605128888
117	0.3603005411
118	0.3600472669
119	0.3598880991
120	0.3597868194
121	0.3596115088
122	0.3592821115
123	0.3590999381
124	0.3588376137
125	0.3586782281
126	0.3584169577
127	0.3582008985
128	0.3580462924
129	0.3578629244
130	0.3576408837
131	0.3574387701
132	0.3571837993
133	0.3570025765
134	0.356875032
135	0.3566529438
136	0.3565067252
137	0.3563505938
138	0.3560387435
139	0.3557729006
140	0.3555663471
141	0.3552777357
142	0.3550830128
143	0.3548706768
144	0.3545216844
145	0.3543750459
146	0.3542271666
147	0.3540278641
148	0.3539037978
149	0.3537534952
150	0.3534980943
151	0.353301469
152	0.3531202722
153	0.3528990128
154	0.3527366195
155	0.35261004
156	0.3524831156
157	0.3523805317
158	0.3522573966
159	0.352201547
160	0.3520758874
161	0.3517765202
162	0.3515385576
163	0.3513421506
164	0.3512528623
165	0.3511083548
166	0.3509600895
167	0.3507625934
168	0.3505643962
169	0.3503142689
170	0.3501241497
171	0.3499423513
172	0.3496982714
173	0.349573537
174	0.3494350589
175	0.3493071823
176	0.3491476172
177	0.3489597875
178	0.348781419
179	0.3487030836
180	0.3484985641
181	0.3483234331
